07/31/26 10:58:27,Start Time:,1785466707.7,Duration:,10,Time Precision:,4,Time Adjustment:,0,Target Size:,100

Time Offset,AVDD_I,AVDD_P,AVDD_V,CAM_AFVDD2_2V8_I,CAM_AFVDD2_2V8_P,CAM_AFVDD2_2V8_V,CH15_SPM_I,CH15_SPM_P,CH15_SPM_V,CH23_SPM_I,CH23_SPM_P,CH23_SPM_V,ELVDD_I,ELVDD_P,ELVDD_V,EMI_VDD1_DDR_I,EMI_VDD1_DDR_P,EMI_VDD1_DDR_V,EMI_VDD2H_DDR_I,EMI_VDD2H_DDR_P,EMI_VDD2H_DDR_V,EMI_VDD2L_DDR_I,EMI_VDD2L_DDR_P,EMI_VDD2L_DDR_V,EMI_VDDQ_DDR_I,EMI_VDDQ_DDR_P,EMI_VDDQ_DDR_V,FCAM_AVDD_2P8_I,FCAM_AVDD_2P8_P,FCAM_AVDD_2P8_V,FCAM_DVDD_1P05_I,FCAM_DVDD_1P05_P,FCAM_DVDD_1P05_V,FCAM_VCAMIO_I,FCAM_VCAMIO_P,FCAM_VCAMIO_V,MCAM_AVDD_2P8_I,MCAM_AVDD_2P8_P,MCAM_AVDD_2P8_V,MCAM_DVDD_1V1_I,MCAM_DVDD_1V1_P,MCAM_DVDD_1V1_V,OLED_DVDD_I,OLED_DVDD_P,OLED_DVDD_V,OLED_VCI_I,OLED_VCI_P,OLED_VCI_V,OLED_VDDI_I,OLED_VDDI_P,OLED_VDDI_V,SAR_VDD_1P8_I,SAR_VDD_1P8_P,SAR_VDD_1P8_V,System Messages,,TSP_IO_CON_I,TSP_IO_CON_P,TSP_IO_CON_V,UFS_VCC_2V5_UFS_I,UFS_VCC_2V5_UFS_P,UFS_VCC_2V5_UFS_V,VBB1_BOB_I,VBB1_BOB_P,VBB1_BOB_V,VCAMIO_I,VCAMIO_P,VCAMIO_V,VCAMIO_WIDE_I,VCAMIO_WIDE_P,VCAMIO_WIDE_V,VIO18_PMU_6319_I,VIO18_PMU_6319_P,VIO18_PMU_6319_V,VIO18_PMU_6685_I,VIO18_PMU_6685_P,VIO18_PMU_6685_V,VIO18_PMU_A_G_I,VIO18_PMU_A_G_P,VIO18_PMU_A_G_V,VIO18_PMU_FLICKER_I,VIO18_PMU_FLICKER_P,VIO18_PMU_FLICKER_V,VIO18_PMU_HAC_I,VIO18_PMU_HAC_P,VIO18_PMU_HAC_V,VIO18_PMU_M_I,VIO18_PMU_M_P,VIO18_PMU_M_V,VIO18_PMU_PL_I,VIO18_PMU_PL_P,VIO18_PMU_PL_V,VIO18_PMU_REV_I,VIO18_PMU_REV_P,VIO18_PMU_REV_V,VIO18_PMU_SPK_I,VIO18_PMU_SPK_P,VIO18_PMU_SPK_V,VLEDA_PL_I,VLEDA_PL_P,VLEDA_PL_V,VSYS_6685_I,VSYS_6685_P,VSYS_6685_V,VSYS_AVDD_I,VSYS_AVDD_P,VSYS_AVDD_V,VSYS_CHG_I,VSYS_CHG_P,VSYS_CHG_V,VSYS_DVE_I,VSYS_DVE_P,VSYS_DVE_V,VSYS_ELVDD_I,VSYS_ELVDD_P,VSYS_ELVDD_V,VSYS_FLASH_I,VSYS_FLASH_P,VSYS_FLASH_V,VSYS_HAC_I,VSYS_HAC_P,VSYS_HAC_V,VSYS_PVIN_I,VSYS_PVIN_P,VSYS_PVIN_V,VSYS_REV_I,VSYS_REV_P,VSYS_REV_V,VSYS_SPK_I,VSYS_SPK_P,VSYS_SPK_V,VSYS_VIB_I,VSYS_VIB_P,VSYS_VIB_V,VTP_PMU_I,VTP_PMU_P,VTP_PMU_V,VUFS12_PMU_I,VUFS12_PMU_P,VUFS12_PMU_V,WCAM_AVDD_2P8_I,WCAM_AVDD_2P8_P,WCAM_AVDD_2P8_V,WIDE_DVDD_1P2_I,WIDE_DVDD_1P2_P,WIDE_DVDD_1P2_V
,EPM1612.0,EPM1612.0P,EPM1613.0,EPM1584.0,EPM1584.0P,EPM1585.0,EPM1638.0,EPM1638.0P,EPM1639.0,EPM1642.0,EPM1642.0P,EPM1643.0,EPM1548.0,EPM1548.0P,EPM1549.0,EPM1602.0,EPM1602.0P,EPM1603.0,EPM1580.0,EPM1580.0P,EPM1581.0,EPM1570.0,EPM1570.0P,EPM1571.0,EPM1538.0,EPM1538.0P,EPM1539.0,EPM1586.0,EPM1586.0P,EPM1587.0,EPM1650.0,EPM1650.0P,EPM1651.0,EPM1618.0,EPM1618.0P,EPM1619.0,EPM1614.0,EPM1614.0P,EPM1615.0,EPM1552.0,EPM1552.0P,EPM1553.0,EPM1582.0,EPM1582.0P,EPM1583.0,EPM1644.0,EPM1644.0P,EPM1645.0,EPM1550.0,EPM1550.0P,EPM1551.0,EPM1652.0,EPM1652.0P,EPM1653.0,serverMessages,,EPM1544.0,EPM1544.0P,EPM1545.0,EPM1634.0,EPM1634.0P,EPM1635.0,EPM1600.0,EPM1600.0P,EPM1601.0,EPM1646.0,EPM1646.0P,EPM1647.0,EPM1648.0,EPM1648.0P,EPM1649.0,EPM1536.0,EPM1536.0P,EPM1537.0,EPM1572.0,EPM1572.0P,EPM1573.0,EPM1558.0,EPM1558.0P,EPM1559.0,EPM1654.0,EPM1654.0P,EPM1655.0,EPM1606.0,EPM1606.0P,EPM1607.0,EPM1620.0,EPM1620.0P,EPM1621.0,EPM1590.0,EPM1590.0P,EPM1591.0,EPM1542.0,EPM1542.0P,EPM1543.0,EPM1636.0,EPM1636.0P,EPM1637.0,EPM1622.0,EPM1622.0P,EPM1623.0,EPM1604.0,EPM1604.0P,EPM1605.0,EPM1578.0,EPM1578.0P,EPM1579.0,EPM1568.0,EPM1568.0P,EPM1569.0,EPM1610.0,EPM1610.0P,EPM1611.0,EPM1640.0,EPM1640.0P,EPM1641.0,EPM1556.0,EPM1556.0P,EPM1557.0,EPM1576.0,EPM1576.0P,EPM1577.0,EPM1546.0,EPM1546.0P,EPM1547.0,EPM1574.0,EPM1574.0P,EPM1575.0,EPM1632.0,EPM1632.0P,EPM1633.0,EPM1588.0,EPM1588.0P,EPM1589.0,EPM1608.0,EPM1608.0P,EPM1609.0,EPM1540.0,EPM1540.0P,EPM1541.0,EPM1554.0,EPM1554.0P,EPM1555.0,EPM1616.0,EPM1616.0P,EPM1617.0
0.06,14.885,110.0616,7394.125,-0.02,-0,1.5,-0.0275,-0.0001,2,-0.0375,-0.0001,1.75,8.1025,37.2786,4600.875,2.13,3.8401,1802.875,9.03,9.53,1055.375,3.85,3.5651,926,2.4,1.212,505,0.0125,0,2.875,0.03,0,0.875,0.0625,0.1138,1820.625,0.0325,0,1.125,-0.75,-0.0008,1.125,49.5325,64.2437,1297,0.0525,0.1558,2966.875,7.27,13.066,1797.25,-0.005,-0.0091,1817,,,1.9025,3.4269,1801.25,-0.1,-0.1361,1360.875,13.3,46.6015,3503.875,0.035,0.0637,1818.75,0.005,0.0091,1822.25,10799.3,19052.665,1764.25,2,3.6393,1819.625,0.1975,0.3595,1820.375,0.0225,0.0409,1818.375,0.35,0.6374,1821.25,693.1525,1211.7172,1748.125,0.1275,0.2322,1821,-0.005,-0.0091,1821,-0.1,-0.1818,1818.125,0,0,3298.125,0.7,2.7636,3948,29.83,117.6607,3944.375,125.6,496.1357,3950.125,0.9375,3.699,3945.625,10.81,42.6225,3942.875,0.0775,0.3057,3944.375,-0.4,-1.5786,3946.375,2.9325,11.5742,3946.875,0.45,1.7766,3948,0,0,3948,0.0125,0.0493,3947.75,0.24,0.7926,3302.5,0.2325,0.2798,1203.625,-0.005,-0,2,0,0,1.625
0.156,14.6225,108.1133,7393.625,0.0225,0,0.75,0.0075,0,4.125,-0.03,-0.0001,1.75,8.075,37.147,4600.25,1.75,3.1539,1802.25,8.0825,8.5038,1052.125,2.75,2.5341,921.5,0.85,0.4301,506,-0.015,-0,1.375,-0.0475,-0.0001,2,0.005,0.0091,1820.375,-0.0075,-0,1.375,-0.45,-0.0006,1.25,50.8875,66.0393,1297.75,0.055,0.1631,2964.75,7.71,13.8558,1797.125,0.005,0.0091,1817.375,,,0.4425,0.798,1803.5,0.0025,0.0002,92.5,3.1,10.8829,3510.625,0.0075,0.0136,1819.375,0.0475,0.0865,1820.5,10799.5,19030.0689,1762.125,2.5,4.5444,1817.75,0.215,0.3912,1819.625,-0.0275,-0.05,1819.25,-0.85,-1.5472,1820.25,692.71,1209.0387,1745.375,0.225,0.4096,1820.375,-0.0025,-0.0046,1821.25,0.25,0.4544,1817.5,0.0025,0.0083,3301.125,-0.05,-0.1975,3949,26.0575,102.8196,3945.875,116.05,458.4555,3950.5,0.87,3.4354,3948.75,10.73,42.3527,3947.125,-0.045,-0.1777,3949,0.2,0.7907,3953.5,3.04,12.0046,3948.875,0.25,0.9876,3950.25,0.35,1.3827,3950.5,0.065,0.2564,3945,0.23,0.7599,3303.75,0.3075,0.3702,1204,0.0075,0,1.125,-0.0075,-0,1.25
0.252,16.635,,7396,0.0025,,2,-0.075,,2.625,-0.0225,,0.5,8.0875,,4599,2.2775,,1800.625,8.7325,,1051.5,4.2,,922.75,1.45,,503.75,0.015,,1.625,-0.005,,0.75,-0.015,,1821.875,0.04,,1.125,-1,,0.75,53.755,,1297,0.0625,,2966.25,7.7475,,1797.25,-0.035,,1814.375,,,1.7925,,1801.625,-0.0175,,9.25,3.9,,3510.75,0.03,,1817.875,0.015,,1821.125,10798.95,,1763.5,1.75,,1820.375,0.2125,,1819.125,0.07,,1819.75,0.2,,1820.875,691.39,,1746.875,0.065,,1822.875,0.0175,,1822.125,-0.1,,1818.25,-0.0025,,3296.25,0.65,,3947.625,33.55,,3945.25,122.85,,3949.375,0.9225,,3945.125,10.8075,,3944.25,0.0825,,3947.25,-0.2,,3945.375,3.0875,,3946.25,0.25,,3939.875,0.5,,3946.625,0.0275,,3947.375,2.7925,,3303.625,0.3575,,1206.25,0.0025,,2.25,0,,0.75
0.348,14.7825,,7395.875,-0.015,,2.875,-0.0425,,1.375,-0.03,,1.875,8.05,,4599.875,1.81,,1801.375,8.82,,1055.625,4.25,,921.125,1.25,,504.375,0.005,,1.875,0.015,,2.5,0.0175,,1820.625,0.02,,1.125,0.2,,0.875,50.5575,,1298.125,0.045,,2969.125,7.77,,1797.25,0.0225,,1816.25,,,1.71,,1801.5,0.015,,2.375,5.25,,3510.125,0.03,,1818.375,0.055,,1822,10798.25,,1763,1.8,,1818.25,0.205,,1818.625,0.035,,1821,0.7,,1819.5,692.385,,1748.25,0.2075,,1822.75,0.0025,,1822.75,0.9,,1817.5,0.0225,,3297.5,0.35,,3950.375,29.595,,3949.125,110.7,,3950.875,0.865,,3950.375,10.8075,,3947.375,0.045,,3947.75,-1.1,,3949.5,3.1175,,3950.875,0.55,,3948.125,0.25,,3949.625,0.055,,3946,0.44,,3303.125,0.2975,,1205.125,-0.035,,0.75,-0.04,,0.875
0.444,12.5425,92.7534,7395.125,-0.0075,-0,1.25,0.01,0,1.375,-0.0475,-0.0001,1.875,8.065,37.0708,4596.5,1.9575,3.5296,1803.125,6.355,6.7037,1054.875,3.9,3.589,920.25,1.95,0.9857,505.5,0.0275,0,0.75,0.0275,0.0001,1.875,0.0475,0.0865,1821.5,0.01,0,1.625,-0.6,-0.0016,2.625,45.6325,59.2652,1298.75,0.0925,0.2745,2967.375,6.84,12.2992,1798.125,0.005,0.0091,1818.125,,,0.7025,1.2665,1802.875,0.0075,0,1.375,10.1,35.4636,3511.25,-0.005,-0.0091,1818.25,0.06,0.1092,1819.875,10799.3,19036.4661,1762.75,1.9,3.4566,1819.25,0.225,0.4092,1818.625,0.055,0.0999,1816.75,0.7,1.2751,1821.5,692.3725,1209.8344,1747.375,0.235,0.4277,1820,0.01,0.0182,1818.125,-0.15,-0.2728,1818.875,0.025,0.0824,3296,1.65,6.5134,3947.5,25.685,101.4076,3948.125,123.35,487.325,3950.75,0.8925,3.524,3948.5,10.8775,42.9512,3948.625,-0.015,-0.0593,3950.375,0.05,0.1975,3950,2.7175,10.7416,3952.75,0.2,0.7898,3949.125,-0.75,-2.963,3950.625,0.075,0.2961,3947.5,0.23,0.7597,3303,0.315,0.3801,1206.75,-0.015,-0,2.75,0.0275,0,1.375
0.54,14.995,110.8655,7393.5,-0.01,-0,1.125,-0.0275,-0.0001,2.25,-0.0525,-0,0.75,8.045,37.001,4599.25,1.845,3.3242,1801.75,8.02,8.4471,1053.25,3.15,2.9051,922.25,1.5,0.7596,506.375,0,0,0.75,-0.0075,-0,0.75,0.005,0.0091,1822.5,-0.01,-0,0.25,-0.25,-0.0004,1.75,53.245,69.2185,1300,0.045,0.1336,2969.125,7.685,13.8051,1796.375,-0.0125,-0.0227,1816.25,,,1.9875,3.5812,1801.875,0.025,0,1.375,10.15,35.5567,3503.125,0.0375,0.0682,1817.375,0.02,0.0364,1820.25,10798.65,19044.7691,1763.625,2.15,3.9095,1818.375,0.1925,0.3499,1817.5,0.005,0.0091,1820.625,-0.6,-1.0926,1821,691.81,1208.6785,1747.125,0.0625,0.1138,1821.375,0.0125,0.0228,1820.375,0.85,1.5457,1818.5,0.03,0.0987,3289.375,1.1,4.3406,3946,29.7225,117.3073,3946.75,112.15,443.0626,3950.625,0.8575,3.3853,3947.875,10.71,42.2777,3947.5,0.0275,0.1085,3946.875,0.95,3.7508,3948.25,2.9625,11.7067,3951.625,0.35,1.3826,3950.25,1.2,4.7409,3950.75,0.0175,0.0691,3947.125,0.2625,0.8669,3302.625,0.3,0.3616,1205.25,-0.025,-0,1.75,0.005,0,0.75
0.636,13.365,98.8141,7393.5,-0.005,-0,0,-0.0625,-0.0001,1.375,-0.065,-0.0002,2.375,8.105,37.2627,4597.5,1.83,3.297,1801.625,8.6375,9.1018,1053.75,2.85,2.6266,921.625,2.1,1.0618,505.625,-0.0225,-0,1.375,0.015,0,1.625,0.0225,0.041,1820.75,-0.0175,-0,1.75,0.45,0.0006,1.375,52.0275,67.6878,1301,0.065,0.1929,2967.875,7.6625,13.7724,1797.375,0.015,0.0273,1817.75,,,1.9575,3.5269,1801.75,-0.01,-0,1,5.2,18.2468,3509,0.025,0.0455,1819.125,-0.005,-0.0091,1821.25,10798.55,19028.3949,1762.125,1.75,3.1859,1820.5,0.21,0.3821,1819.5,-0.0075,-0.0136,1815.875,0.4,0.7276,1819,692.1275,1209.3198,1747.25,0.215,0.3913,1819.875,0.0475,0.0864,1818.5,0.15,0.2728,1818.75,0.0225,0.0742,3299.75,1.6,6.3202,3950.125,25.6975,101.5019,3949.875,116.6,460.4971,3949.375,0.89,3.5164,3951,10.845,42.8445,3950.625,0.02,0.079,3950.375,0.05,0.1975,3950,3.125,12.3516,3952.5,1.05,4.1474,3949.875,1,3.9485,3948.5,0.0575,0.2271,3949.875,2.4475,8.0853,3303.5,0.27,0.3254,1205,-0.01,-0,2.125,0,0,1.625
0.732,17.13,126.6656,7394.375,-0.0325,-0,1.5,-0.03,-0.0001,2.875,-0.02,-0,0.25,8.06,37.0659,4598.75,2.4025,4.3299,1802.25,7.875,8.3012,1054.125,4.55,4.1894,920.75,1,0.5069,506.875,-0.0125,-0,2.25,0.0175,0,0.75,0.015,0.0273,1820.5,0.0125,0,1.375,0.15,0.0001,0.5,55.875,72.5746,1298.875,0.1075,0.3191,2968.625,8.62,15.4955,1797.625,0.015,0.0272,1816.375,,,1.5175,2.7345,1802,-0.06,-0,0.75,3.8,13.3456,3512,0.0575,0.1045,1817.25,0.0775,0.1411,1820.625,10798.5,19045.8544,1763.75,1.65,3.0024,1819.625,0.1925,0.3503,1819.75,0.0075,0.0137,1820.125,-0.2,-0.3638,1819.125,691.4725,1208.8668,1748.25,0.16,0.2909,1817.875,-0,-0,1820.375,1.2,2.1828,1819,0.0125,0.0412,3294.5,0.1,0.3948,3947.625,34.4025,135.6878,3944.125,123.95,489.4011,3948.375,0.925,3.6512,3947.25,10.7175,42.2859,3945.5,-0.005,-0.0197,3947.125,0.7,2.7622,3946,3.0375,11.9852,3945.75,0.4,1.5789,3947.25,0.3,1.1847,3948.875,0.04,0.1579,3947.25,0.37,1.2221,3303,0.3625,0.4376,1207.125,-0.0275,-0,0.5,-0.005,-0,1.125
0.828,14.7425,,7393.75,-0.035,,1.75,-0.0325,,2,-0.07,,3,8.1075,,4596.25,2.275,,1802.625,8.9075,,1055.125,3,,919,1.2,,505.5,-0.015,,0.75,0.0225,,1.375,0.0425,,1821.125,0.01,,0.625,-0.6,,1.125,49.77,,1300.875,0.0875,,2967.5,7.7375,,1795.75,0.0175,,1817.75,,,2.985,,1800.875,0.0275,,1.25,4.35,,3508.5,0.035,,1817.625,0.04,,1820.75,10798.9,,1764.375,3.1,,1820,0.2,,1820,0.0125,,1818.125,-0.15,,1822.625,692.2675,,1748.875,0.135,,1820.25,0.005,,1819.75,-0.2,,1818.25,7.7275,,3294.5,1.15,,3946.25,26.2375,,3946,122.85,,3946.5,0.8475,,3949,10.835,,3947.375,0.06,,3945.25,0.15,,3948.375,2.885,,3948.25,0.15,,3950.75,0.95,,3946.75,0.025,,3945.875,0.2375,,3303.625,0.29,,1205.875,-0.0125,,1.625,-0.0025,,0.875
